student_id,student_name,class_period,assignment_type,assignment_name,date,score,max_score,submitted
20261409,Alex Anderson,6,Project,Digital Pet Project,2026-01-05,49.8,100,True
20261409,Alex Anderson,6,Project,Final Game Project,2026-01-06,42.3,100,True
20261409,Alex Anderson,6,Project,Data Visualization Project,2026-01-07,68.9,100,True
20261409,Alex Anderson,6,Quiz,Functions Quiz,2026-01-08,0.0,50,False
20261409,Alex Anderson,6,Quiz,Debugging Quiz,2026-01-09,32.3,50,True
20261409,Alex Anderson,6,Quiz,Conditionals Quiz,2026-01-12,32.1,50,True
20261409,Alex Anderson,6,Quiz,Objects Quiz,2026-01-13,31.2,50,True
20261409,Alex Anderson,6,Quiz,Variables Quiz,2026-01-14,40.3,50,True
20261409,Alex Anderson,6,Lab,Intro to Python Lab,2026-01-15,44.0,50,True
20261409,Alex Anderson,6,Lab,Arrays Lab,2026-01-16,8.6,10,True
20261409,Alex Anderson,6,Lab,Algorithm Practice Lab,2026-01-19,7.5,10,True
20261409,Alex Anderson,6,Lab,Debugging Lab,2026-01-20,31.8,50,True
20261409,Alex Anderson,6,Lab,Pair Programming Lab,2026-01-21,6.3,10,True
20261409,Alex Anderson,6,Lab,AP Exam Practice Lab,2026-01-22,0.0,10,False
20261409,Alex Anderson,6,Lab,Data Structures Lab,2026-01-23,29.1,50,True
20261409,Alex Anderson,6,Lab,Functions Lab,2026-01-26,33.6,50,True
20261409,Alex Anderson,6,Homework,Review Homework,2026-01-27,8.4,10,True
20261409,Alex Anderson,6,Homework,Functions Homework,2026-01-28,31.8,50,True
20261409,Alex Anderson,6,Homework,Algorithms Homework,2026-01-29,5.9,10,True
20261409,Alex Anderson,6,Homework,Practice Problems Homework,2026-01-30,0.0,10,False
20261409,Alex Anderson,6,Homework,Test Prep Homework,2026-02-02,7.8,10,True
20261409,Alex Anderson,6,Homework,Conditionals Homework,2026-02-03,8.2,10,True
20261409,Alex Anderson,6,Homework,Debugging Homework,2026-02-04,22.6,50,True
20261409,Alex Anderson,6,Homework,Variables Homework,2026-02-05,45.1,50,True
20261409,Alex Anderson,6,Homework,Coding Challenge Homework,2026-02-06,0.0,10,False
20261409,Alex Anderson,6,Homework,Arrays Homework,2026-02-09,49.8,50,True
20285012,Alex Bailey,2,Project,Digital Pet Project,2026-01-05,47.1,100,True
20285012,Alex Bailey,2,Project,Mobile App Prototype Project,2026-01-06,65.6,100,True
20285012,Alex Bailey,2,Project,Final Game Project,2026-01-07,86.2,100,True
20285012,Alex Bailey,2,Quiz,Functions Quiz,2026-01-08,7.0,10,True
20285012,Alex Bailey,2,Quiz,Debugging Quiz,2026-01-09,48.2,50,True
20285012,Alex Bailey,2,Quiz,Variables Quiz,2026-01-12,6.1,10,True
20285012,Alex Bailey,2,Quiz,Arrays Quiz,2026-01-13,33.2,50,True
20285012,Alex Bailey,2,Quiz,Conditionals Quiz,2026-01-14,37.9,50,True
20285012,Alex Bailey,2,Lab,Arrays Lab,2026-01-15,32.7,50,True
20285012,Alex Bailey,2,Lab,Functions Lab,2026-01-16,30.4,50,True
20285012,Alex Bailey,2,Lab,Algorithm Practice Lab,2026-01-19,37.7,50,True
20285012,Alex Bailey,2,Lab,File I/O Lab,2026-01-20,36.5,50,True
20285012,Alex Bailey,2,Lab,Intro to Python Lab,2026-01-21,31.5,50,True
20285012,Alex Bailey,2,Lab,Debugging Lab,2026-01-22,35.9,50,True
20285012,Alex Bailey,2,Lab,Loops Practice Lab,2026-01-23,7.7,10,True
20285012,Alex Bailey,2,Lab,Pair Programming Lab,2026-01-26,38.6,50,True
20285012,Alex Bailey,2,Homework,Arrays Homework,2026-01-27,7.2,10,True
20285012,Alex Bailey,2,Homework,Debugging Homework,2026-01-28,36.9,50,True
20285012,Alex Bailey,2,Homework,Loops Homework,2026-01-29,36.4,50,True
20285012,Alex Bailey,2,Homework,Conditionals Homework,2026-01-30,8.1,10,True
20285012,Alex Bailey,2,Homework,Algorithms Homework,2026-02-02,6.2,10,True
20285012,Alex Bailey,2,Homework,Practice Problems Homework,2026-02-03,0.0,50,False
20285012,Alex Bailey,2,Homework,Coding Challenge Homework,2026-02-04,8.3,10,True
20285012,Alex Bailey,2,Homework,Variables Homework,2026-02-05,5.1,10,True
20285012,Alex Bailey,2,Homework,Test Prep Homework,2026-02-06,6.1,10,True
20285012,Alex Bailey,2,Homework,Functions Homework,2026-02-09,7.4,10,True
